text,label
#2016菠萝科学奖#为什么人人都爱爱因斯坦？除了他旷世的天才，最重要的是他光环之下闪耀着的单纯、质朴的人性。为什么人人都爱爱因斯坦？,0
#2016互联网大会# 第三届世界互联网大会今天开幕 国家主席习近平以视频方式发表重要讲话 ，央视新闻的秒拍视频 （央视新闻）,0
#2016互联网大会# 乌镇互联网大会，这些“金句”你不容错过[NO] ，昨天，第三届世界互联网大会在浙江乌镇开幕，全球互联网行业大咖齐聚一堂。谈起互联网对社会发展的深刻影响，以及由此而改变的未来世界的面貌，这些大咖有哪些“金句”不容错过？一起来看↓ 乌镇互联网大会，这些“金句”你不容错过！,0
"#2016互联网大会# 周鸿祎一身中山装亮相乌镇 张朝阳：像牧师[笑cry] ，15年的乌镇世界互联网大会，360董事长周鸿祎 与雷军 的搞怪互动成为网友津津乐道的话题。而今年，平日里""一身红""的周鸿祎""画风突变""，身着中山装亮相。这身打扮，被张朝阳称""像牧师""…来，听周鸿祎咋说的：中国新闻网的秒拍视频",0
#2016世界艾滋病日#9000000次畏惧和偏见，阻止不了30000000次尊重和理解，6亿人眼中的爱与艾，恐怖和冷落才不是艾滋的代名词。今天，放下畏惧和偏见，让我们一起#关艾有你，为爱同行#，今日头条 大数据。,0
#2016算数健康大会#今日头条6亿用户对于健康资讯的阅读行为显示：高血压在疾病中最受关注；在健身方式中，跑步以5亿的阅读量勇夺冠军。大数据还算出了一个秘密：用户在健身时最关注身体什么部位呢？臀部[doge],0
   倒计时6天！时间将会证明，未来正来。9月20日，期待你来现场感受生机[爱你],0
   倒计时7天！9月20日，今日头条创始人&CEO张一鸣将在现场宣布一项对头条号作者的重大利好！长按海报二维码报名参会，我们期待你的到来。,0
  9月20日，在北京民生现代美术馆，我们将把26万头条号创作者中的代表请到一起，谈谈新媒体，谈谈内容创业，谈谈头条号是否能够为创作者们实现更多。与大家分享智能分发的勃勃生机，我们已经迫不及待了！报名链接：,0
  Clay Shirky 表示，数据源越来越多是未来数据时代的趋势。组织如此庞大规模数据的时候，无非有三种态度：1.视而不见任其自流；2.采取原有的方式对数据进行管控；3.重新变种的方式进行数据的筛选。用第三种方式处理数据，对数据进行重新打包整合归纳的话，可以实时对数据进行最?全文,0
  纪中展-知识分子 和大家分享了过去一年“知识分子”在内容创业大潮下的点滴。他表示“价值才是内容创业的核心”： “我们非常清晰地认识到，我们不能做风口上的猪，我们要做踏踏实实的牛。我们不用考虑流行什么，也不用去想什么是趋势，我们想的就是如何能够做的有价值。”直?全文,0
  上午3场精彩演讲到此全部结束。更多精彩将在下午2点重新开启。知识分子CEO纪中展-知识分子 、一条副总裁范致行 、新世相 创始人张伟、Know Yourself 联合创始人陈竹以及更多自媒体大咖，将在现场和大家分享内容创业的那些故事。直播地址：,0
 “世界上只有一种东西不会被任何人怀疑，那就是平庸的东西。”头条号诞生2年后的今天，每天有30万个头条号通过这个平台分享超过18万篇文字或视频，创造近20亿次的内容消费。是的，从来没有什么东西是又新又完美的，重要的是，时间站在了我们这一边。感谢各位头条号创作者！,0
 本次头条号大会至此结束。感谢今天为我们带来精彩演讲的各位嘉宾。感谢到场的1500 位头条号创作者。头条号会和大家一起努力下去，没有你们，我们无法成就现在的一切，有了你们，我们会能够在未来成就一切——请和我们一起，朝着未来前进！明年再会。[害羞],0
 大会开始了。即将上场的是今日头条创始人、CEO张一鸣。今天，他将在现场公布一项对头条号创作者的重大利好，宣布头条号平台对内容生产者的扶持加码。“重大利好”，到底会是什么呢？想看直播的同学，请戳：,0
 第三方数据显示，移动应用中人均月度使用时长的前2名是：微信、今日头条。“创作者的利益和今日头条的利益是高度一致的，”张一鸣在演讲中表示，“信息平台的大小、存亡，取决于内容数量的多寡、质量的优劣。”为了感谢创作者提供的好内容，今日头条将持续加大扶持力度。,0
 火钳刘明联合创始人、关爱八卦成长协会 COO杨源来到现场，和大家分享了“如何运营女性向内容产品”。他表示，所有经验总结成一句话，就是：“运营女性产品时，只要大家能够获取到女人的信任，你们就获取到了女人的一切，后续的东西都是水到渠成的。”直播地址：?全文,0
